ID,Marriage_Type,Age_at_Marriage,Gender,Education_Level,Caste_Match,Religion,Parental_Approval,Urban_Rural,Dowry_Exchanged,Marital_Satisfaction,Divorce_Status,Children_Count,Income_Level,Years_Since_Marriage,Spouse_Working,Inter-Caste,Inter-Religion,Marriage_Type_Encoded,Gender_Encoded,Education_Level_Encoded,Caste_Match_Encoded,Religion_Encoded,Parental_Approval_Encoded,Dowry_Exchanged_Encoded,Marital_Satisfaction_Encoded,Divorce_Status_Encoded,Income_Level_Encoded,Spouse_Working_Encoded,Inter-Caste_Encoded,Inter-Religion_Encoded
19,Love,39,Female,Graduate,Same,Hindu,Partial,Urban,No,Low,No,2,Middle,34,No,No,No,1,0,0,1,1,1,0,1,0,2,0,0,0
20,Love,34,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,0,Middle,45,No,No,No,1,1,3,1,1,2,0,2,0,2,0,0,0
21,Arranged,35,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,0,Low,19,Yes,Yes,No,0,1,0,1,1,2,0,0,0,1,1,1,0
22,Love,24,Male,School,Same,Hindu,Partial,Urban,No,Medium,No,0,Low,10,Yes,No,No,1,1,3,1,1,1,0,2,0,1,1,0,0
23,Love,27,Male,Graduate,Same,Hindu,Yes,Rural,No,High,No,1,Middle,11,Yes,No,No,1,1,0,1,1,2,0,0,0,2,1,0,0
24,Love,36,Female,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,No,4,Middle,25,No,Yes,No,1,0,2,1,1,2,0,2,0,2,0,1,0
25,Arranged,21,Male,School,Different,Hindu,Yes,Rural,No,Low,No,5,Middle,42,No,No,No,0,1,3,0,1,2,0,1,0,2,0,0,0
26,Arranged,36,Male,School,Same,Hindu,Yes,Urban,No,High,No,1,Middle,8,Yes,No,No,0,1,3,1,1,2,0,0,0,2,1,0,0
27,Arranged,31,Male,Graduate,Different,Hindu,Yes,Urban,No,Medium,No,1,Low,36,No,No,No,0,1,0,0,1,2,0,2,0,1,0,0,0
28,Arranged,34,Female,PhD,Same,Hindu,Yes,Urban,No,Low,No,2,High,19,No,Yes,No,0,0,1,1,1,2,0,1,0,0,0,1,0
29,Love,27,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,2,Low,43,No,No,No,1,1,3,1,1,2,0,2,0,1,0,0,0
30,Arranged,34,Female,Graduate,Same,Christian,No,Urban,No,Medium,No,3,Low,40,No,No,Yes,0,0,0,1,0,0,0,2,0,1,0,0,1
31,Arranged,29,Male,School,Different,Hindu,Partial,Urban,No,Low,No,5,Low,42,No,Yes,No,0,1,3,0,1,1,0,1,0,1,0,1,0
32,Love,35,Male,PhD,Same,Christian,Yes,Rural,No,Low,No,1,Middle,28,Yes,Yes,No,1,1,1,1,0,2,0,1,0,2,1,1,0
33,Arranged,21,Female,School,Different,Hindu,Yes,Rural,Not Disclosed,Low,No,3,Low,10,Yes,No,No,0,0,3,0,1,2,1,1,0,1,1,0,0
34,Arranged,21,Female,Postgraduate,Same,Sikh,Yes,Urban,Yes,Medium,No,0,High,25,Yes,Yes,No,0,0,2,1,4,2,2,2,0,0,1,1,0
35,Arranged,22,Male,School,Same,Hindu,Yes,Urban,No,Low,No,5,Low,36,No,No,No,0,1,3,1,1,2,0,1,0,1,0,0,0
36,Arranged,23,Male,Postgraduate,Different,Christian,Yes,Urban,Not Disclosed,Medium,No,3,Low,46,Yes,Yes,No,0,1,2,0,0,2,1,2,0,1,1,1,0
37,Arranged,31,Female,Postgraduate,Same,Sikh,Partial,Rural,No,High,No,4,Low,35,Yes,No,No,0,0,2,1,4,1,0,0,0,1,1,0,0
38,Love,28,Female,Graduate,Same,Muslim,Yes,Rural,Not Disclosed,Medium,No,5,Middle,47,Yes,No,No,1,0,0,1,2,2,1,2,0,2,1,0,0
39,Love,30,Female,Postgraduate,Different,Hindu,Yes,Rural,Yes,Medium,No,3,High,17,No,No,No,1,0,2,0,1,2,2,2,0,0,0,0,0
40,Love,23,Female,School,Same,Christian,Yes,Urban,Not Disclosed,Medium,No,1,Low,32,No,No,No,1,0,3,1,0,2,1,2,0,1,0,0,0
41,Love,34,Male,Postgraduate,Same,Hindu,No,Urban,Yes,Medium,No,4,High,35,No,Yes,No,1,1,2,1,1,0,2,2,0,0,0,1,0
42,Love,35,Female,School,Different,Muslim,Yes,Rural,No,High,No,1,Middle,39,No,No,Yes,1,0,3,0,2,2,0,0,0,2,0,0,1
43,Arranged,37,Male,PhD,Same,Christian,Partial,Rural,No,High,No,0,Middle,22,No,No,No,0,1,1,1,0,1,0,0,0,2,0,0,0
44,Love,32,Male,Graduate,Same,Muslim,Yes,Rural,Not Disclosed,Medium,No,1,Low,27,Yes,No,No,1,1,0,1,2,2,1,2,0,1,1,0,0
45,Arranged,37,Female,School,Same,Others,Partial,Urban,Yes,High,No,0,Middle,44,No,No,No,0,0,3,1,3,1,2,0,0,2,0,0,0
46,Love,39,Male,School,Same,Hindu,Yes,Rural,No,High,No,5,Middle,33,No,No,No,1,1,3,1,1,2,0,0,0,2,0,0,0
47,Arranged,20,Female,Graduate,Different,Hindu,Yes,Urban,Yes,Low,No,4,Middle,21,Yes,No,Yes,0,0,0,0,1,2,2,1,0,2,1,0,1
48,Arranged,23,Male,Postgraduate,Same,Hindu,Yes,Rural,No,High,No,4,Middle,36,No,No,No,0,1,2,1,1,2,0,0,0,2,0,0,0
49,Arranged,20,Male,School,Same,Muslim,Yes,Urban,No,High,No,1,Low,6,Yes,No,No,0,1,3,1,2,2,0,0,0,1,1,0,0
50,Arranged,19,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,3,Middle,14,No,No,No,0,1,3,1,1,2,0,2,0,2,0,0,0
51,Arranged,30,Male,Graduate,Different,Hindu,Yes,Rural,Yes,High,No,3,Middle,49,Yes,No,No,0,1,0,0,1,2,2,0,0,2,1,0,0
52,Arranged,28,Female,PhD,Same,Sikh,Yes,Urban,No,High,No,5,Middle,31,No,Yes,No,0,0,1,1,4,2,0,0,0,2,0,1,0
53,Arranged,25,Female,Graduate,Same,Others,Partial,Urban,No,Medium,Yes,5,Middle,18,No,Yes,Yes,0,0,0,1,3,1,0,2,1,2,0,1,1
54,Arranged,31,Female,PhD,Same,Hindu,Yes,Rural,Yes,Low,No,0,High,48,No,Yes,No,0,0,1,1,1,2,2,1,0,0,0,1,0
55,Arranged,28,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,0,Low,23,No,No,No,0,0,0,1,1,2,0,2,0,1,0,0,0
56,Arranged,33,Male,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,4,High,5,No,No,No,0,1,0,1,1,2,2,2,0,0,0,0,0
57,Arranged,27,Female,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,0,Middle,44,No,No,No,0,0,0,1,1,2,0,2,0,2,0,0,0
58,Love,24,Male,Graduate,Same,Hindu,Yes,Urban,Yes,High,No,2,Low,38,Yes,No,No,1,1,0,1,1,2,2,0,0,1,1,0,0
59,Love,18,Female,School,Different,Others,No,Urban,No,High,No,5,Middle,28,Yes,No,No,1,0,3,0,3,0,0,0,0,2,1,0,0
60,Love,22,Male,Graduate,Same,Sikh,Partial,Urban,No,Medium,No,2,Low,48,Yes,Yes,No,1,1,0,1,4,1,0,2,0,1,1,1,0
61,Love,24,Female,Graduate,Same,Sikh,Yes,Urban,No,Medium,No,5,Middle,39,No,No,No,1,0,0,1,4,2,0,2,0,2,0,0,0
62,Love,36,Male,Postgraduate,Different,Muslim,Yes,Rural,Yes,Medium,No,2,Middle,45,No,No,No,1,1,2,0,2,2,2,2,0,2,0,0,0
63,Love,28,Female,Graduate,Same,Hindu,Partial,Rural,Yes,Medium,No,1,Middle,15,No,No,No,1,0,0,1,1,1,2,2,0,2,0,0,0
64,Love,24,Male,Graduate,Same,Hindu,Yes,Rural,No,High,No,2,High,17,No,Yes,Yes,1,1,0,1,1,2,0,0,0,0,0,1,1
65,Arranged,37,Male,School,Same,Hindu,Yes,Rural,Yes,Low,No,1,Middle,23,No,No,No,0,1,3,1,1,2,2,1,0,2,0,0,0
66,Arranged,22,Female,School,Same,Hindu,Partial,Urban,No,Medium,No,3,Low,17,No,No,No,0,0,3,1,1,1,0,2,0,1,0,0,0
67,Love,24,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,5,High,31,No,No,No,1,0,0,1,1,2,2,2,0,0,0,0,0
68,Arranged,36,Male,Graduate,Same,Hindu,Yes,Rural,Not Disclosed,Low,No,1,High,30,Yes,No,No,0,1,0,1,1,2,1,1,0,0,1,0,0
69,Love,36,Female,Graduate,Same,Sikh,Yes,Urban,No,High,No,1,Middle,21,No,No,No,1,0,0,1,4,2,0,0,0,2,0,0,0
70,Love,28,Male,Graduate,Same,Others,Yes,Urban,No,Medium,Yes,1,Middle,7,Yes,No,Yes,1,1,0,1,3,2,0,2,1,2,1,0,1
71,Arranged,38,Female,School,Same,Hindu,Yes,Rural,No,High,No,4,Low,49,No,Yes,Yes,0,0,3,1,1,2,0,0,0,1,0,1,1
72,Arranged,22,Female,Graduate,Same,Hindu,Partial,Rural,No,Medium,No,0,High,26,No,No,No,0,0,0,1,1,1,0,2,0,0,0,0,0
73,Love,23,Male,School,Same,Others,Partial,Urban,Yes,High,No,1,Middle,38,Yes,No,No,1,1,3,1,3,1,2,0,0,2,1,0,0
74,Arranged,32,Female,PhD,Same,Hindu,No,Urban,Yes,Medium,No,2,Low,42,No,No,No,0,0,1,1,1,0,2,2,0,1,0,0,0
75,Arranged,21,Female,School,Same,Hindu,Yes,Urban,No,High,No,1,Middle,10,No,No,No,0,0,3,1,1,2,0,0,0,2,0,0,0
76,Love,25,Male,Postgraduate,Same,Muslim,Yes,Urban,No,Medium,No,0,Middle,46,No,No,No,1,1,2,1,2,2,0,2,0,2,0,0,0
77,Arranged,26,Female,School,Same,Muslim,Yes,Rural,No,Low,No,2,Low,28,Yes,No,No,0,0,3,1,2,2,0,1,0,1,1,0,0
78,Love,24,Female,Postgraduate,Same,Hindu,Partial,Urban,No,Medium,No,4,Low,44,No,No,No,1,0,2,1,1,1,0,2,0,1,0,0,0
79,Arranged,32,Male,Graduate,Same,Hindu,Yes,Urban,No,High,No,5,Middle,29,No,No,No,0,1,0,1,1,2,0,0,0,2,0,0,0
80,Love,23,Male,Graduate,Different,Hindu,Yes,Urban,Yes,Medium,No,3,Low,42,No,No,No,1,1,0,0,1,2,2,2,0,1,0,0,0
81,Arranged,35,Female,School,Different,Muslim,Yes,Urban,No,Medium,No,0,Middle,47,Yes,No,Yes,0,0,3,0,2,2,0,2,0,2,1,0,1
82,Arranged,28,Female,Postgraduate,Same,Christian,Yes,Urban,No,Medium,No,4,Low,12,No,No,No,0,0,2,1,0,2,0,2,0,1,0,0,0
83,Arranged,31,Female,School,Same,Hindu,Yes,Urban,Yes,High,No,1,Middle,44,No,No,No,0,0,3,1,1,2,2,0,0,2,0,0,0
84,Love,26,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,3,High,7,Yes,Yes,No,1,1,0,1,1,2,0,2,0,0,1,1,0
85,Arranged,34,Male,School,Different,Muslim,Yes,Urban,No,High,No,2,Middle,44,Yes,Yes,No,0,1,3,0,2,2,0,0,0,2,1,1,0
86,Arranged,32,Female,School,Same,Others,Yes,Rural,No,Low,No,4,Middle,42,No,No,No,0,0,3,1,3,2,0,1,0,2,0,0,0
87,Arranged,22,Female,Graduate,Same,Christian,Yes,Rural,No,Medium,No,0,Middle,39,Yes,No,No,0,0,0,1,0,2,0,2,0,2,1,0,0
88,Arranged,34,Female,Graduate,Different,Hindu,Partial,Rural,Yes,High,No,0,High,12,Yes,No,No,0,0,0,0,1,1,2,0,0,0,1,0,0
89,Arranged,33,Female,Graduate,Same,Sikh,Yes,Rural,No,Medium,No,5,Low,28,No,No,No,0,0,0,1,4,2,0,2,0,1,0,0,0
90,Arranged,28,Male,Graduate,Same,Christian,Yes,Rural,No,Low,No,5,Low,48,Yes,No,No,0,1,0,1,0,2,0,1,0,1,1,0,0
91,Arranged,26,Male,School,Different,Muslim,Yes,Urban,No,Medium,No,3,Middle,8,No,No,No,0,1,3,0,2,2,0,2,0,2,0,0,0
92,Arranged,39,Male,PhD,Same,Hindu,Yes,Urban,No,High,No,0,Low,10,Yes,Yes,No,0,1,1,1,1,2,0,0,0,1,1,1,0
93,Arranged,19,Female,School,Same,Hindu,Yes,Urban,No,Medium,No,4,High,29,No,No,No,0,0,3,1,1,2,0,2,0,0,0,0,0
94,Love,29,Female,PhD,Same,Muslim,Yes,Urban,No,Medium,Yes,1,Middle,14,No,No,No,1,0,1,1,2,2,0,2,1,2,0,0,0
95,Love,19,Female,PhD,Same,Hindu,Yes,Rural,No,High,No,0,Low,38,Yes,Yes,No,1,0,1,1,1,2,0,0,0,1,1,1,0
96,Arranged,18,Female,School,Same,Muslim,No,Urban,No,Medium,No,3,Middle,48,Yes,No,No,0,0,3,1,2,0,0,2,0,2,1,0,0
97,Arranged,38,Female,School,Different,Hindu,Yes,Rural,Not Disclosed,Low,Yes,3,Middle,30,Yes,No,No,0,0,3,0,1,2,1,1,1,2,1,0,0
98,Love,38,Female,School,Same,Hindu,Yes,Urban,No,High,No,1,Middle,28,Yes,Yes,No,1,0,3,1,1,2,0,0,0,2,1,1,0
99,Arranged,39,Male,Postgraduate,Different,Hindu,Yes,Urban,No,High,No,4,Middle,7,No,No,Yes,0,1,2,0,1,2,0,0,0,2,0,0,1
100,Arranged,22,Female,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,1,High,36,Yes,No,No,0,0,0,1,1,2,0,2,0,0,1,0,0
101,Love,21,Female,Graduate,Different,Hindu,Yes,Rural,Yes,Low,No,3,Middle,18,Yes,No,No,1,0,0,0,1,2,2,1,0,2,1,0,0
102,Arranged,37,Male,Postgraduate,Same,Christian,Yes,Urban,No,Medium,No,3,Middle,40,No,No,No,0,1,2,1,0,2,0,2,0,2,0,0,0
103,Arranged,18,Male,Graduate,Different,Christian,Yes,Urban,No,Low,No,3,Low,47,Yes,Yes,No,0,1,0,0,0,2,0,1,0,1,1,1,0
104,Love,19,Female,School,Same,Hindu,Yes,Urban,No,Low,Yes,2,Middle,28,Yes,No,No,1,0,3,1,1,2,0,1,1,2,1,0,0
105,Love,21,Female,Postgraduate,Same,Hindu,No,Urban,No,High,No,5,High,46,Yes,No,No,1,0,2,1,1,0,0,0,0,0,1,0,0
106,Love,28,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,3,Middle,33,Yes,Yes,No,1,0,0,1,1,2,2,2,0,2,1,1,0
107,Love,26,Male,Postgraduate,Same,Hindu,Yes,Urban,No,Medium,Yes,3,Middle,12,Yes,No,No,1,1,2,1,1,2,0,2,1,2,1,0,0
108,Love,33,Male,Graduate,Same,Christian,Yes,Urban,No,Medium,Yes,5,Middle,38,No,No,No,1,1,0,1,0,2,0,2,1,2,0,0,0
109,Love,27,Female,Postgraduate,Different,Hindu,Yes,Rural,No,High,No,3,Middle,49,No,No,Yes,1,0,2,0,1,2,0,0,0,2,0,0,1
110,Arranged,37,Male,Graduate,Same,Muslim,Partial,Urban,No,Medium,No,2,Middle,42,No,No,No,0,1,0,1,2,1,0,2,0,2,0,0,0
111,Love,33,Female,School,Same,Hindu,Yes,Urban,Yes,Medium,No,5,Middle,9,No,No,No,1,0,3,1,1,2,2,2,0,2,0,0,0
112,Love,30,Female,School,Different,Christian,Yes,Urban,No,Low,No,0,Middle,25,Yes,No,No,1,0,3,0,0,2,0,1,0,2,1,0,0
113,Arranged,19,Female,School,Same,Hindu,Yes,Rural,Not Disclosed,Medium,No,5,Middle,43,Yes,No,No,0,0,3,1,1,2,1,2,0,2,1,0,0
114,Arranged,31,Female,Graduate,Same,Muslim,Partial,Rural,No,Medium,Yes,1,High,30,No,No,No,0,0,0,1,2,1,0,2,1,0,0,0,0
115,Arranged,22,Female,Graduate,Different,Hindu,Partial,Rural,No,Medium,No,4,Middle,24,Yes,No,No,0,0,0,0,1,1,0,2,0,2,1,0,0
116,Arranged,26,Female,Graduate,Same,Hindu,Yes,Urban,Yes,Medium,No,0,High,5,Yes,No,No,0,0,0,1,1,2,2,2,0,0,1,0,0
117,Love,32,Male,Postgraduate,Same,Christian,Yes,Urban,No,Medium,No,3,Low,27,Yes,No,No,1,1,2,1,0,2,0,2,0,1,1,0,0
118,Love,19,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,5,Middle,4,No,Yes,No,1,1,3,1,1,2,0,2,0,2,0,1,0
119,Love,25,Male,School,Same,Muslim,Yes,Urban,No,High,No,5,Middle,10,Yes,No,No,1,1,3,1,2,2,0,0,0,2,1,0,0
120,Arranged,38,Female,Postgraduate,Same,Christian,Partial,Urban,No,Medium,No,3,Middle,18,Yes,No,No,0,0,2,1,0,1,0,2,0,2,1,0,0
121,Arranged,37,Female,Graduate,Same,Hindu,Partial,Urban,No,Medium,No,0,Low,32,No,Yes,No,0,0,0,1,1,1,0,2,0,1,0,1,0
122,Arranged,21,Male,Postgraduate,Same,Christian,Yes,Rural,No,High,No,5,Middle,2,No,Yes,No,0,1,2,1,0,2,0,0,0,2,0,1,0
123,Arranged,20,Female,Graduate,Same,Muslim,No,Rural,No,Low,No,1,Middle,15,Yes,Yes,No,0,0,0,1,2,0,0,1,0,2,1,1,0
124,Arranged,36,Male,School,Different,Hindu,Yes,Rural,No,High,No,4,High,44,No,No,No,0,1,3,0,1,2,0,0,0,0,0,0,0
125,Arranged,20,Male,Postgraduate,Different,Hindu,Yes,Rural,Not Disclosed,Low,No,0,High,15,Yes,Yes,No,0,1,2,0,1,2,1,1,0,0,1,1,0
126,Arranged,39,Female,Graduate,Different,Muslim,Yes,Urban,No,Medium,No,1,Middle,40,No,No,Yes,0,0,0,0,2,2,0,2,0,2,0,0,1
127,Love,29,Male,School,Same,Muslim,Yes,Urban,Yes,High,No,4,Middle,39,No,No,No,1,1,3,1,2,2,2,0,0,2,0,0,0
128,Love,22,Female,Graduate,Same,Muslim,Yes,Urban,No,Low,No,3,High,43,No,No,No,1,0,0,1,2,2,0,1,0,0,0,0,0
129,Arranged,22,Female,Postgraduate,Same,Hindu,No,Rural,No,Medium,No,5,Middle,43,Yes,No,Yes,0,0,2,1,1,0,0,2,0,2,1,0,1
130,Arranged,22,Female,Postgraduate,Same,Christian,No,Urban,No,Low,No,1,Middle,15,No,Yes,No,0,0,2,1,0,0,0,1,0,2,0,1,0
131,Love,29,Male,School,Same,Hindu,Yes,Urban,No,High,Yes,0,Middle,33,No,No,Yes,1,1,3,1,1,2,0,0,1,2,0,0,1
132,Love,29,Female,PhD,Different,Hindu,No,Urban,Yes,Medium,No,5,Middle,44,Yes,Yes,No,1,0,1,0,1,0,2,2,0,2,1,1,0
133,Love,30,Male,Graduate,Different,Hindu,Yes,Urban,No,Medium,No,1,Middle,38,Yes,No,No,1,1,0,0,1,2,0,2,0,2,1,0,0
134,Love,28,Male,PhD,Different,Christian,Yes,Urban,No,Medium,No,3,Middle,22,Yes,No,No,1,1,1,0,0,2,0,2,0,2,1,0,0
135,Love,38,Female,Graduate,Different,Hindu,Partial,Urban,No,Medium,No,2,Low,5,Yes,No,No,1,0,0,0,1,1,0,2,0,1,1,0,0
136,Love,22,Female,Graduate,Different,Hindu,No,Rural,No,Medium,No,0,Low,40,Yes,Yes,No,1,0,0,0,1,0,0,2,0,1,1,1,0
137,Arranged,23,Female,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,3,Middle,46,No,No,No,0,0,0,1,1,2,0,2,0,2,0,0,0
138,Arranged,38,Male,Graduate,Same,Hindu,Yes,Rural,No,Medium,No,2,Middle,24,Yes,Yes,No,0,1,0,1,1,2,0,2,0,2,1,1,0
139,Love,23,Male,Graduate,Same,Hindu,Yes,Urban,No,Medium,No,5,Middle,28,Yes,No,No,1,1,0,1,1,2,0,2,0,2,1,0,0
140,Arranged,29,Male,School,Different,Sikh,Yes,Urban,No,High,No,4,Middle,37,Yes,No,No,0,1,3,0,4,2,0,0,0,2,1,0,0
141,Arranged,24,Male,School,Same,Hindu,Yes,Urban,No,Low,Yes,2,Middle,35,No,No,No,0,1,3,1,1,2,0,1,1,2,0,0,0
142,Love,27,Female,Postgraduate,Same,Hindu,Yes,Urban,Yes,High,No,2,Middle,23,No,No,No,1,0,2,1,1,2,2,0,0,2,0,0,0
143,Arranged,28,Male,Graduate,Different,Hindu,Yes,Rural,No,High,Yes,1,Middle,39,No,No,No,0,1,0,0,1,2,0,0,1,2,0,0,0
144,Love,37,Male,PhD,Different,Hindu,Partial,Urban,No,Medium,No,4,Middle,15,No,No,Yes,1,1,1,0,1,1,0,2,0,2,0,0,1
145,Arranged,38,Male,School,Same,Hindu,Yes,Urban,Yes,High,No,3,Low,17,Yes,No,No,0,1,3,1,1,2,2,0,0,1,1,0,0
146,Arranged,19,Male,Graduate,Same,Muslim,Yes,Urban,No,Medium,No,1,Middle,24,Yes,No,No,0,1,0,1,2,2,0,2,0,2,1,0,0
147,Arranged,33,Female,Graduate,Same,Hindu,Partial,Urban,Yes,Low,No,4,Low,35,Yes,Yes,No,0,0,0,1,1,1,2,1,0,1,1,1,0
148,Love,19,Male,Postgraduate,Same,Hindu,Yes,Urban,No,High,No,1,Low,25,Yes,No,No,1,1,2,1,1,2,0,0,0,1,1,0,0
149,Love,24,Female,Graduate,Different,Hindu,Yes,Rural,No,High,No,5,Low,7,No,No,No,1,0,0,0,1,2,0,0,0,1,0,0,0
150,Love,19,Male,PhD,Same,Sikh,Yes,Rural,No,Medium,No,2,Middle,26,Yes,No,No,1,1,1,1,4,2,0,2,0,2,1,0,0
151,Arranged,18,Female,School,Same,Others,Yes,Rural,No,High,No,4,Middle,19,No,No,No,0,0,3,1,3,2,0,0,0,2,0,0,0
152,Arranged,22,Male,School,Same,Hindu,Yes,Urban,No,Medium,No,1,Middle,39,No,No,No,0,1,3,1,1,2,0,2,0,2,0,0,0
153,Love,23,Male,Graduate,Same,Others,Yes,Urban,No,Low,No,4,Middle,26,Yes,Yes,No,1,1,0,1,3,2,0,1,0,2,1,1,0
154,Arranged,18,Female,Graduate,Same,Muslim,Yes,Rural,No,Medium,No,4,High,2,No,No,Yes,0,0,0,1,2,2,0,2,0,0,0,0,1
155,Arranged,38,Female,Graduate,Same,Muslim,Yes,Urban,No,Low,No,0,Middle,33,Yes,No,No,0,0,0,1,2,2,0,1,0,2,1,0,0
156,Arranged,32,Male,Graduate,Same,Muslim,No,Urban,No,Medium,No,2,Low,12,No,No,No,0,1,0,1,2,0,0,2,0,1,0,0,0
157,Arranged,28,Female,PhD,Same,Hindu,Yes,Urban,No,Low,No,2,High,38,No,No,No,0,0,1,1,1,2,0,1,0,0,0,0,0
158,Love,24,Male,School,Same,Hindu,Partial,Urban,No,Medium,No,5,Middle,48,Yes,No,No,1,1,3,1,1,1,0,2,0,2,1,0,0
159,Love,32,Male,Graduate,Same,Muslim,Yes,Urban,Not Disclosed,High,No,1,High,23,No,Yes,No,1,1,0,1,2,2,1,0,0,0,0,1,0
160,Arranged,32,Male,Postgraduate,Same,Hindu,Yes,Rural,No,Medium,No,2,Low,16,Yes,Yes,No,0,1,2,1,1,2,0,2,0,1,1,1,0
161,Love,20,Male,School,Different,Others,Partial,Urban,No,High,No,4,High,30,No,No,Yes,1,1,3,0,3,1,0,0,0,0,0,0,1
162,Love,26,Female,Graduate,Different,Muslim,Yes,Urban,No,Medium,No,1,High,47,No,No,No,1,0,0,0,2,2,0,2,0,0,0,0,0
163,Love,26,Male,Graduate,Same,Others,Yes,Urban,No,Medium,No,3,Low,40,No,No,No,1,1,0,1,3,2,0,2,0,1,0,0,0
164,Arranged,38,Male,School,Different,Muslim,Yes,Urban,No,High,No,5,Middle,32,No,No,No,0,1,3,0,2,2,0,0,0,2,0,0,0
165,Love,23,Female,Graduate,Different,Muslim,Yes,Urban,No,High,No,1,Low,2,No,Yes,No,1,0,0,0,2,2,0,0,0,1,0,1,0
166,Arranged,39,Male,School,Same,Christian,No,Rural,No,Medium,No,3,Middle,26,No,No,No,0,1,3,1,0,0,0,2,0,2,0,0,0
167,Arranged,39,Male,Graduate,Same,Hindu,Yes,Urban,No,Low,No,4,Middle,39,No,Yes,No,0,1,0,1,1,2,0,1,0,2,0,1,0
